Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Laila,Martinsson,Ängsvägen 6,Örebro,70785,Sverige,SE,19811128-0053,+46,+46 (0)25 01 89 64,1981-11-28,True
Tina,Randall,Willie Expressway 1976,Andrewsfurt,44871,Danmark,DK,19811107-1205,+45,(333)471-5573x161,1981-11-07,True
Line,Holm,Moemoen 18,Ruud,8788,Norge,NO,19701120-8541,+47,18 16 91 31,1970-11-20,True
Hege,Amundsen,Kristensengata 11B,Antonsen,6258,Norge,NO,19910321-0978,+47,+4749194643,1991-03-21,True
Kristina,Nygren,Furugatan 13,Östersund,11682,Sverige,SE,19461208-8470,+46,048-72 48 31,1946-12-08,True
Michael,White,Samuel Mall 81272,Anthonyhaven,87955,Danmark,DK,19921224-7948,+45,001-210-808-7254x1855,1992-12-24,True
Bengt,Lundgren,Genvägen 1,Uddevalla,86463,Sverige,SE,19501123-2523,+46,0549-39 88 00,1950-11-23,True
Margareta,Holmberg,Skolgatan 13,Västerås,45038,Sverige,SE,19951216-1503,+46,+46 (0)704 350 80,1995-12-16,True
Kelly,Brown,Barber Shoal 5286,South Victoria,84121,Danmark,DK,19821117-6278,+45,492.517.5284x029,1982-11-17,True
Liv,Haug,Ruudtoppen 00H,Haugen,4883,Norge,NO,19580128-8345,+47,45947833,1958-01-28,True
Andrew,Parrish,Jamie Course 028,Hoodmouth,05565,Danmark,DK,19641212-0198,+45,953-810-6207x79126,1964-12-12,True
Olavi,Korhonen,Capellan puistotie 578,Ilomantsi,73194,Finland,FI,19570511-605X,+358,0083205733,1957-05-11,True
Maria,Saarinen,Uussillanbulevardi 9,Kaavi,94935,Finland,FI,19461025-847W,+358,+358 333283284,1946-10-25,True
Christian,Berge,Henriksenskrenten 68,Andreassen,5166,Norge,NO,19670301-0027,+47,+4714538485,1967-03-01,True
Evelyn,Norling,Kyrktorget 9,Lidköping,50754,Sverige,SE,19670914-8431,+46,08-090 97 55,1967-09-14,True
Aaron,Paul,Taylor Locks 13438,Harmonside,18160,Danmark,DK,19900810-0526,+45,001-813-253-4091x767,1990-08-10,True
Willy,Grahn,Ringtorget 2,Ängelholm,65364,Sverige,SE,19710607-4634,+46,041-818 31 16,1971-06-07,True
Julie,Johnson,Alexander Courts 270,Ponceside,38346,Danmark,DK,19650514-9262,+45,612-472-9240x4829,1965-05-14,True
Markus,Ahmed,Eliassenholtet 3,Thomassand,1265,Norge,NO,19700324-1624,+47,77171297,1970-03-24,True
Blake,Rush,Margaret Parkway 28707,Ricetown,37428,Danmark,DK,19731101-5902,+45,891.683.0756x1310,1973-11-01,True
Robert,Bengtsson,Idrottsstigen 9,Piteå,33527,Sverige,SE,19690824-0399,+46,097-726 44 10,1969-08-24,True
Melker,Nguyen,Parktorget 814,Västerås,87523,Sverige,SE,19410713-4327,+46,08-87 49 27,1941-07-13,True
Sinikka,Salmi,Cygnaeuksenkatu 32,Hammarland,45120,Finland,FI,19800730-054N,+358,+358 11 7065870,1980-07-30,True
Per,Einarsson,Kyrkvägen 071,Karlskoga,50258,Sverige,SE,19480902-6358,+46,+46 (0)51 05 17 51,1948-09-02,True
Jari,Kovanen,Ieskatu 986,Kumlinge,77594,Finland,FI,19700424-7221,+358,(+358) 120594893,1970-04-24,True
Laila,Bøe,Bergløkka 3,Sandvik,6225,Norge,NO,19790613-6027,+47,81 65 60 50,1979-06-13,True
Göran,Eriksson,Furugatan 45,Lund,32964,Sverige,SE,19660108-2661,+46,028-83 04 94,1966-01-08,True
Sebastian,Birkeland,Danielsenvika 149,Mikkelsen,4184,Norge,NO,19690116-0351,+47,477 71 376,1969-01-16,True
Britt,Häggström,Kvarnstigen 11,Karlskoga,81189,Sverige,SE,19870601-1399,+46,054-12 25 59,1987-06-01,True
Linn,Tveit,Johannessenhagen 36,Gunnbø,3256,Norge,NO,19510927-1808,+47,00292694,1951-09-27,True
Adam,Baker,Garcia Forest 7721,Henryburgh,76910,Danmark,DK,19790924-9676,+45,(499)227-7025x53831,1979-09-24,True
Hans,Knutsen,Amundsensvingen 96,Isaksen,1435,Norge,NO,19730319-6145,+47,48778974,1973-03-19,True
Tammy,Barrett,Cooper Village 4474,Rogerstad,23760,Danmark,DK,19890215-5376,+45,+1-334-659-0967x20577,1989-02-15,True
Albert,Andersson,Kyrkostigen 4,Piteå,31418,Sverige,SE,19630913-7927,+46,+46 (0)8 029 636 71,1963-09-13,True
Jennifer,Zuniga,Lyons Springs 7270,Port Melissafort,14212,Danmark,DK,19430824-5926,+45,657.500.9581x1705,1943-08-24,True
Kalevi,Koponen,Tyynylaavankatu 82,Laihia,06776,Finland,FI,19811220-759Y,+358,+358355719940,1981-12-20,True
Ellen,Bøe,Antonsenroa 69,Andreassen,7201,Norge,NO,19801005-3537,+47,907 41 793,1980-10-05,True
Annie,Larsson,Björkvägen 1,Norrköping,68013,Sverige,SE,19580620-8322,+46,0730-127 46,1958-06-20,True
Karl,Karlsson,Industrigränd 24,Växjö,69523,Sverige,SE,19970206-5526,+46,0125-350 93,1997-02-06,True
Jonathan,Thompson,Hill Lake 59579,Keithhaven,46971,Danmark,DK,19930427-3929,+45,457-238-7287x335,1993-04-27,True
Charlotta,Carlberg,Kvarnvägen 89,Lidköping,48173,Sverige,SE,19951202-7695,+46,0901-25 43 47,1995-12-02,True
Elizabeth,Sjöberg,Industrigatan 2,Varberg,32532,Sverige,SE,19800816-8739,+46,08-469 53 21,1980-08-16,True
Cynthia,Hardin,Stephanie Views 9606,Jaredchester,05065,Danmark,DK,19830812-2816,+45,418-577-2726x555,1983-08-12,True
Theresa,Gonzales,Sandra Ports 608,West Patrick,64486,Danmark,DK,19680914-8641,+45,405-423-8572x278,1968-09-14,True
Eva,Bengtsson,Ängsgatan 8,Nyköping,33620,Sverige,SE,19690831-2648,+46,+46 (0)8 888 128 85,1969-08-31,True
Reginald,Gallegos,Justin Motorway 02649,Murrayshire,70918,Danmark,DK,19870430-5383,+45,001-433-953-0504,1987-04-30,True
Karoline,Mikkelsen,Johansenjordet 76,Alexandervær,4991,Norge,NO,19870826-5493,+47,64036526,1987-08-26,True
Mikko,Hirvonen,Wallininkatu 257,Porvoo,78554,Finland,FI,19970424-082E,+358,+358 36 0393748,1997-04-24,True
Kayla,Murphy,Anderson Heights 349,Robertland,56372,Danmark,DK,19680906-6513,+45,279.278.2889x945,1968-09-06,False
Wilhelm,Holst,Kvarngatan 776,Motala,59210,Sverige,SE,19720717-1529,+46,087-51 33 44,1972-07-17,True
Christopher,Lambert,Anderson Keys 729,Wrightfurt,40811,Danmark,DK,19941204-6679,+45,676.841.4578x524,1994-12-04,True
Rita,Gundersen,Mikkelsenmarka 94E,Arnesen,6724,Norge,NO,19460529-9932,+47,976 87 246,1946-05-29,True
Andreas,Karlsson,Granvägen 94,Motala,11851,Sverige,SE,19941126-4422,+46,+46 (0)86 16 23 89,1994-11-26,True
Else,Bøe,Mathisenflata 8,Magnefjord,8389,Norge,NO,19861116-7191,+47,41942147,1986-11-16,True
Victoria,White,Adrian Fields 8973,North Cherylton,53828,Danmark,DK,19660827-3021,+45,929-252-3176,1966-08-27,True
Edward,Quinn,Melissa Point 34989,South Bradley,44438,Danmark,DK,19990516-9083,+45,671-727-4680,1999-05-16,True
Therese,Karlsson,Gentorget 63,Växjö,17388,Sverige,SE,19651105-7761,+46,082-04 06 13,1965-11-05,True
Roy,Arnesen,Henriksenalléen 78,Martinøy,6855,Norge,NO,19460917-7439,+47,489 30 764,1946-09-17,True
Stephanie,Bentley,Nunez Brooks 31652,Williamsside,64051,Danmark,DK,19410402-8855,+45,8643658750,1941-04-02,True
Frode,Lien,Thomassengrenda 1E,Lien,0399,Norge,NO,19450621-1728,+47,+4706781033,1945-06-21,True
Moa,Bergström,Ekgatan 38,Alingsås,75025,Sverige,SE,19960829-6056,+46,08-710 66 75,1996-08-29,True
Per,Arnesen,Knudsenstien 55,Bakken,4431,Norge,NO,19700417-0051,+47,24822740,1970-04-17,True
Lennart,Strandberg,Backgatan 557,Alingsås,83739,Sverige,SE,19750806-3781,+46,08-89 14 17,1975-08-06,True
Michael,Long,David Forest 59946,East Michael,84752,Danmark,DK,19580413-4014,+45,001-989-700-5286x3991,1958-04-13,True
Sofia,Karlsson,Strandgatan 101,Örebro,47140,Sverige,SE,19711229-4205,+46,+46 (0)626 093 11,1971-12-29,True
Henrik,Pettersen,Solheimfaret 4H,Nguyen,0572,Norge,NO,19810227-2643,+47,+4706217726,1981-02-27,True
Mirjami,Grönroos,Edelfeltinkuja 3,Säkylä,68832,Finland,FI,19850218-486T,+358,+358 33 2810940,1985-02-18,True
Teresa,Norman,Ängsgatan 418,Örnsköldsvik,93229,Sverige,SE,19431106-5502,+46,+46 (0)60 41 31 95,1943-11-06,True
Sindre,Eriksen,Bergeholtet 903,Jannesjøen,8481,Norge,NO,19720514-5413,+47,68767982,1972-05-14,True
Craig,Smith,Wright Viaduct 593,Dunnton,13770,Danmark,DK,19450224-7900,+45,501.345.8020x2844,1945-02-24,True
Irene,Nielsen,Bakkestubben 478,Bakken,4925,Norge,NO,19910610-1871,47,937 17 907,1991-06-10,True
Jonathan,Baker,Stephanie Mews 5373,Port Ashley,05309,Danmark,DK,19770915-7908,+45,+1-990-270-2009x5397,1977-09-15,True
Johannes,Paulsen,Mikkelsengata 5,Haraldhelle,5661,Norge,NO,19480729-8405,+47,49978580,1948-07-29,True
Ulla,Friberg,Järnvägsgränd 5,Stockholm,78025,Sverige,SE,19921118-1463,+46,+46 (0)06 33 75 61,1992-11-18,True
Henrik,Månsson,Idrottsgatan 447,Örebro,63692,Sverige,SE,19870912-4046,+46,0880-73 49 40,1987-09-12,True
Bo,Öberg,Stationsvägen 1,Helsingborg,89513,Sverige,SE,19790913-2586,+46,08-293 32 35,1979-09-13,True
Therése,Hallberg,Aspvägen 812,Örebro,17811,Sverige,SE,19920927-8003,+46,075-08 47 98,1992-09-27,True
Kim,Jacobsen,Tangenskogen 7B,Mariannevik,9878,Norge,NO,19650715-6673,+47,44881708,1965-07-15,True
Andreas,Johansson,Skolstigen 39,Örnsköldsvik,69399,Sverige,SE,19871014-2996,+46,08-48 27 07,1987-10-14,True
Lars,Persson,Parktorget 3,Växjö,68153,Sverige,SE,19500208-2920,+46,08-679 759 29,1950-02-08,True
Håkon,Tveit,Liebakken 2,Strand,6475,Norge,NO,19710618-6748,+47,54743589,1971-06-18,True
Jorunn,Thomassen,Aunebråten 8,Nygård,8203,Norge,NO,19580107-6242,+47,479 44 768,1958-01-07,True
Sven,Eriksson,Stationsgatan 89,Karlskoga,45596,Sverige,SE,19561008-6722,+46,0746-461 42,1956-10-08,True
Tapio,Lappalainen,Uskalikonkatu 87,Oripää,63815,Finland,FI,19420318-7633,+358,(+358) 328394223,1942-03-18,True
Maarit,Berg,Uunisepänpolku 411,Hamina,55764,Finland,FI,19760513-8313,+358,+358 56 1878913,1976-05-13,True
Erik,Petersson,Industritorget 21,Lund,31556,Sverige,SE,19670223-9912,+46,069-416 62 33,1967-02-23,True
Mattias,Nordin,Bäckgatan 18,Sundsvall,73892,Sverige,SE,19810926-1838,+46,0080-21 64 29,1981-09-26,True
Leif,Jonsson,Aspvägen 56,Varberg,41152,Sverige,SE,19690314-1613,+46,0145-363 50,1969-03-14,True
Jason,Foster,Fields Landing 5001,Manuelshire,57563,Danmark,DK,19941213-5327,+45,3025813565,1994-12-13,True
Ivar,Isaksen,Lienekra 4C,Ellingsen,8235,Norge,NO,19880201-6349,+47,929 03 407,1988-02-01,True
Per,Thomassen,Dahlåsen 379,Nilsen,8623,Norge,NO,19790118-3721,+47,456 91 123,1979-01-18,True
Elisabeth,Lundgren,Villastigen 7,Södertälje,63897,Sverige,SE,19400216-4323,+46,061-416 72 81,1940-02-16,True
Irene,Rehn,Skolgatan 14,Luleå,26290,Sverige,SE,20000615-7045,+46,013-08 24 57,2000-06-15,True
Daniel,Tangen,Moekroken 12,Eriksen,6006,Norge,NO,19770417-7586,+47,17887939,1977-04-17,True
Caroline,Hernandez,Christina Plains 1734,East Lisa,94909,Danmark,DK,19480318-9864,+45,+1-788-644-1586,1948-03-18,True
Olivia,Eriksson,Björkgatan 3,Luleå,33984,Sverige,SE,19620219-5874,+46,0279-96 70 64,1962-02-19,True
Daniel,Hagen,Henriksenskogen 97,Antonsen,1314,Norge,NO,19941023-0018,+47,99153126,1994-10-23,True
Joakim,Claesson,Björkgatan 148,Alingsås,72212,Sverige,SE,19600421-6465,+46,0487-32 64 19,1960-04-21,True
Geir,Haugen,Thomassenekra 4,Evensen,0351,Norge,NO,19800118-0271,+47,75441092,1980-01-18,True
Leslie,Lopez,Randy Bridge 3320,Simmonsland,92935,Danmark,DK,19800601-7488,+45,+1-753-281-9159x513,1980-06-01,True
Carl,Sköld,Bäckgränd 2,Helsingborg,31477,Sverige,SE,19860905-2860,+46,08-073 581 51,1986-09-05,True
Martti,Pirinen,Tyynelänkuja 194,Polvijärvi,74699,Finland,FI,19820419-6066,+358,+358104787852,1982-04-19,True
Lauri,Mäkinen,Porkkalantie 61,Laukaa,39378,Finland,FI,19421217-653M,+358,034 211 0596,1942-12-17,True
Emilia,Blomqvist,Skolstigen 2,Motala,28208,Sverige,SE,19600720-0910,+46,047-425 71 33,1960-07-20,False
Sofie,Sørensen,Amundsenkollen 99,Vildeås,4687,Norge,NO,19901123-4999,+47,50 97 70 82,1990-11-23,True
Olof,Edström,Järnvägsvägen 9,Lidingö,25966,Sverige,SE,19830214-3308,+46,0650-38 54 36,1983-02-14,True
Jenny,Johansen,Eriksenbakken 964,Eriksen,2899,Norge,NO,19450831-1221,+47,478 56 003,1945-08-31,True
Gudrun,Persson,Kyrkotorget 0,Göteborg,74621,Sverige,SE,19991025-0365,+46,+46 (0)8 374 701 34,1999-10-25,True
Christer,Kristiansson,Skolgränd 0,Norrköping,79630,Sverige,SE,19891021-0312,+46,094-343 43 68,1989-10-21,True
Justin,Davis,Benjamin Crescent 388,Turnerfurt,47759,Danmark,DK,19710122-6205,+45,272-911-5565x0001,1971-01-22,True
Shannon,Wade,David Springs 06581,East Joshuabury,77068,Danmark,DK,19510922-9538,+45,5196379867,1951-09-22,True
Jason,Tapia,Ross Tunnel 45565,Leemouth,81543,Danmark,DK,19890703-7608,+45,7115726277,1989-07-03,True
Peter,Kanerva,Laakavuorenkuja 2,Kaskinen,14671,Finland,FI,19670707-075P,+358,+358478452936,1967-07-07,True
Bjørn,Knutsen,Tveitbråten 366,Egilgrunn,5955,Norge,NO,19820706-7246,+47,41609749,1982-07-06,True
Julie,Eide,Tangenhagen 9C,Trondsand,1310,Norge,NO,19961228-7913,+47,48693632,1996-12-28,True
Marie,Gulbrandsen,Rønningsvingen 57,Hagen,8942,Norge,NO,19821005-6165,+47,+4734229369,1982-10-05,True
Lars,Fredriksen,Bakkespranget 8,Johanstrøm,7751,Norge,NO,19700212-8864,+47,45012240,1970-02-12,True
Elise,Hauge,Haugenekra 8,Hagen,9378,Norge,NO,19910301-4028,+47,77560937,1991-03-01,True
Ann,Johnson,Salas Parks 1534,North Madison,73809,Danmark,DK,19580926-1213,+45,565-241-4802,1958-09-26,True
Kajsa,Löfgren,Granvägen 8,Eskilstuna,33282,Sverige,SE,19720328-8278,+46,08-562 835 31,1972-03-28,True
Kjell,Berg,Åkervägen 41,Motala,76437,Sverige,SE,19800808-9905,+46,0656-02 28 89,1980-08-08,True
Mary,Newman,Sanchez Union 6642,Amandaland,23680,Danmark,DK,19530830-6712,+45,+1-925-996-6924x8813,1953-08-30,True
Oscar,Saleh,Aspvägen 536,Växjö,62759,Sverige,SE,19861210-6890,+46,0207-23 33 63,1986-12-10,True
Siv,Lundin,Fabriksgränd 547,Skellefteå,94583,Sverige,SE,19560412-1773,+46,08-545 593 34,1956-04-12,True
Patty,Guzman,Young Ports 0075,Williamsfort,71561,Danmark,DK,19610120-2351,+45,(926)850-2495,1961-01-20,True
Tommy,Brandt,Kristopher Squares 49034,Matthewsstad,01053,Danmark,DK,19841115-4310,+45,001-243-998-2587x34518,1984-11-15,True
Alicia,Carlsson,Parkvägen 8,Kristianstad,58044,Sverige,SE,19950616-7438,46,079-65 49 50,1995-06-16,True
Sindre,Sivertsen,Evensenstien 05,Andersen,8187,Norge,NO,19451001-6842,+47,+47 93 16 74 90,1945-10-01,True
Lee,Pierce,Tiffany Center 213,Tiffanyhaven,77813,Danmark,DK,19760225-4595,+45,+1-944-214-5151x1133,1976-02-25,True
Olof,Andersson,Granvägen 5,Trollhättan,18819,Sverige,SE,19760501-5251,+46,+46 (0)73 66 96 31,1976-05-01,True
Julian,Bergman,Trädgårdsvägen 561,Sundsvall,75750,Sverige,SE,19481206-6817,+46,029-659 22 49,1948-12-06,True
Ingeborg,Eliassen,Moenstykket 36,Bakken,6962,Norge,NO,19610213-4832,+47,+47 81 02 73 12,1961-02-13,True
Gunborg,Johansson,Backgränd 2,Växjö,16438,Sverige,SE,19440628-4543,+46,08-409 971 28,1944-06-28,True
Mohammad,Jonsson,Furugatan 143,Östersund,57460,Sverige,SE,19950324-9687,+46,08-082 904 24,1995-03-24,True
Arne,Andersson,Stationsvägen 1,Karlskoga,25321,Sverige,SE,19560824-0432,+46,+46 (0)250 260 75,1956-08-24,True
Antero,Paananen,Wäinö Aaltosen polku 79,Hammarland,06136,Finland,FI,20001121-2264,+358,+358 10 9681122,2000-11-21,True
Barry,Martin,Tran Rue 784,East Karen,08009,Danmark,DK,19720508-2700,+45,001-312-804-8666x662,1972-05-08,True
Jonas,Dahlgren,Villavägen 7,Nyköping,14585,Sverige,SE,19780209-7897,+46,08-891 220 06,1978-02-09,True
Eva,Nilsson,Backgatan 7,Skövde,68300,Sverige,SE,19551227-5150,+46,08-258 54 51,1955-12-27,True
Hilde,Tangen,Henriksenspranget 67,Strand,0667,Norge,NO,19830623-5280,+47,+4701410844,1983-06-23,True
Mimmi,Andreasson,Kyrkstigen 771,Östersund,25436,Sverige,SE,19431210-1782,+46,08-73 49 42,1943-12-10,True
Odd,Berge,Ellingsenåsen 2B,Hanssjøen,1995,Norge,NO,19590219-2046,+47,81 80 22 14,1959-02-19,True
Justin,Rodgers,Michelle Forest 18032,Jamesland,39749,Danmark,DK,19901020-7840,+47,001-881-880-7203x003,1990-10-20,True
Karl,Johansson,Industritorget 3,Trelleborg,80261,Sverige,SE,19661212-6357,+46,0832-678 15,1966-12-12,True
Mikael,Johansson,Kvarngränd 9,Skellefteå,21079,Sverige,SE,19410405-8816,+46,0353-942 31,1941-04-05,True
Elizabeth,Ferguson,Dennis Corner 6546,Hallfort,26315,Danmark,DK,19901124-4252,+45,631.263.3768x53411,1990-11-24,True
Ingrid,Berg,Industrigatan 1,Uddevalla,75572,Sverige,SE,19891022-0121,+46,0414-931 53,1989-10-22,True
Ferdinand,Danielsson,Bäckstigen 160,Lidingö,50781,Sverige,SE,19860810-2049,+46,0629-889 78,1986-08-10,True
Siri,Almqvist,Ringgatan 6,Södertälje,84085,Sverige,SE,19820627-6221,+46,028-61 55 45,1982-06-27,True
Hannele,Eskelinen,Granfeltinkatu 02,Suonenjoki,48022,Finland,FI,19430111-2067,+358,+358 425193053,1943-01-11,True
Göran,Karlsson,Ektorget 696,Sundsvall,71087,Sverige,SE,19420726-0267,+46,072-414 24 47,1942-07-26,True
Mikael,Larsson,Aspgatan 77,Karlskrona,77905,Sverige,SE,19890605-9126,+46,077-02 90 12,1989-06-05,True
Clayton,Gaines,Duke Way 1730,Lifurt,24385,Danmark,DK,19690602-1201,+45,+1-859-340-7642x790,1969-06-02,True
Dawn,Lawrence,Dennis Trafficway 96008,Ianborough,16767,Danmark,DK,19871121-2066,45,928-781-6637x7477,1987-11-21,True
Eva,Halvorsen,Fredriksentoppen 57,Adrianberg,7545,Norge,NO,19541031-1535,+47,15 06 30 13,1954-10-31,True
Karl,Lindgren,Furuvägen 040,Motala,37993,Sverige,SE,19830109-3316,+46,+46 (0)895 904 12,1983-01-09,True
Signe,Nilsson,Stortorget 4,Göteborg,43430,Sverige,SE,19910113-7935,+46,+46 (0)8 279 367 43,1991-01-13,True
Colin,Hussein,Nygränd 277,Piteå,87730,Sverige,SE,19500615-0564,+46,+46 (0)8 844 780 05,1950-06-15,True
Kevin,Chapman,Gomez Wells 77403,Deniseberg,18991,Danmark,DK,19950126-9709,+45,899-259-0548x59067,1995-01-26,True
Mary,Persson,Nyvägen 03,Eskilstuna,89472,Svwrige,SE,19560404-5098,+46,08-03 06 66,1956-04-04,True
Patrik,Karlsson,Trädgårdsgatan 5,Varberg,95658,Sverige,SE,19650204-7318,+46,+46 (0)63 38 61 98,1965-02-04,True
Therese,Wallgren,Idrottsgatan 790,Stockholm,51865,Sverige,SE,19650918-0927,+46,+46 (0)22 76 32 93,1965-09-18,True
Andrea,Næss,Nguyenhaugen 65,Sandvik,5910,Norge,NO,19511214-4859,+47,89 88 01 67,1951-12-14,True
Thomas,Svensson,Industrivägen 54,Borås,68085,Sverige,SE,19800804-3071,+46,030-97 53 01,1980-08-04,True
Andrea,Wright,Kennedy Center 540,Jenniferborough,38574,Danmark,DK,19800423-5804,+45,291.682.9881,1980-04-23,True
Kristina,Karlsson,Åkervägen 1,Jönköping,44862,Sverige,SE,19820604-7491,+46,032-07 68 53,1982-06-04,True
Danielle,Valentine,Paul Drives 528,Lake Joshua,16702,Danmark,DK,19740201-7978,+45,388-968-5226,1974-02-01,True
Uno,Wahlberg,Grangatan 09,Eskilstuna,28932,Sverige,SE,19950122-4123,+46,024-06 55 86,1995-01-22,True
Adam,Stark,Patel Gateway 735,Knappside,18040,Danmark,DK,19440811-2077,+45,4652592904,1944-08-11,True
Ethan,Munoz,John Spur 5323,North Anna,77545,Danmark,DK,19590226-4373,+45,316.858.6831x32784,1959-02-26,True
Jane,Gutierrez,Davis Valleys 026,West Chelseahaven,91748,Danmark,DK,19531220-3845,+45,507.344.4921x530,1953-12-20,True
Elisabet,Andersson,Parktorget 63,Ängelholm,69286,Sverige,SE,19710206-7999,+46,08-20 42 84,1971-02-06,True
Harald,Abrahamsen,Fredriksenroa 7,Kennethhavn,3868,Norge,NO,19810811-6246,+47,24974913,1981-08-11,True
Erik,Johansson,Villagatan 0,Lidingö,37998,Sverige,SE,19760124-6810,+46,08-474 81 48,1976-01-24,True
Minna,Hänninen,Bysantinbulevardi 884,Pieksämäki,28679,Finland,FI,19680530-353J,+358,+358117170867,1968-05-30,True
Kjell,Gustafsson,Parkgatan 47,Gävle,94926,Sverige,SE,19410411-7703,+46,0431-121 90,1941-04-11,True
Caroline,Karlsson,Storstigen 392,Östersund,19699,Sverige,SE,19810216-9248,+46,0792-106 41,1981-02-16,True
Trond,Ødegård,Sørensenengen 7,Paulsen,9595,Norge,NO,19401225-5162,+47,+4751081419,1940-12-25,True
Sebastian,Lundin,Björktorget 1,Piteå,99450,Sverige,SE,19640801-5203,+46,0671-30 61 76,1964-08-01,True
Kristina,Norman,Idrottsvägen 3,Luleå,62849,Sverige,SE,19720510-7806,+46,0292-288 26,1972-05-10,True
Tuulikki,Ikonen,Haapakatu 67,Pälkäne,22150,Finland,FI,19591013-071H,+358,092 479 4638,1959-10-13,True
Harald,Söderström,Stationsgatan 97,Umeå,96735,Sverige,SE,19790405-8718,+46,+46 (0)8 295 975 90,1979-04-05,True
Hjalmar,Lundin,Skolvägen 054,Uppsala,59315,Sverige,SE,19461102-7429,+46,+46 (0)06 25 89 95,1946-11-02,True
Pia,Eriksson,Skolvägen 2,Sandviken,47701,Sverige,SE,19690316-6664,+46,08-995 167 77,1969-03-16,True
André,Berglund,Bäckgränd 9,Mölndal,99856,Sverige,SE,19880221-8540,+46,+46 (0)26 98 02 19,1988-02-21,True
Marjatta,Koivula,Ahomäenkuja 7,Kihniö,97590,Finland,FI,19831030-537H,+358,0734136836,1983-10-30,True
Ashley,Ortega,Stephen Lane 420,Maysfurt,38247,Danmark,DK,19880927-2904,+45,862.584.3255x52361,1988-09-27,True
Lotta,Heikkinen,Kilpolankatu 6,Kitee,78468,Finland,FI,19690130-2757,+358,0469205776,1969-01-30,True
Mari,Kristensen,Birkelandmyra 4,Sirisjøen,9863,Norge,NO,19970330-8269,+47,98149990,1997-03-30,True
Ingegärd,Andersson,Ängsstigen 7,Kalmar,57609,Sverige,SE,19710909-3307,+46,+46 (0)128 572 79,1971-09-09,True
Engla,Johansson,Backtorget 06,Karlskrona,82502,Sverige,SE,19930115-9028,+46,+46 (0)93 18 69 29,1993-01-15,True
Tanya,Jones,Martin Flats 5750,West Chelseamouth,43145,Danmark,DK,19430129-1273,+45,595-833-3872x52524,1943-01-29,True
Catrin,Elofsson,Järnvägsvägen 927,Uppsala,39181,Sverige,SE,19680425-9500,+46,08-102 00 81,1968-04-25,True
Johanna,Pettersson,Gentorget 478,Uddevalla,11487,Sverige,SE,19840721-7924,+46,08-845 966 60,1984-07-21,True
Axel,Andersson,Storgatan 325,Luleå,53671,Sverige,SE,19510805-4973,+46,0494-94 84 82,1951-08-05,True
Reza,Abrahamsson,Villavägen 281,Eskilstuna,34154,Sverige,SE,19700702-1992,+46,+46 (0)8 128 393 50,1970-07-02,True
Nicholas,Weaver,Amy Square 4132,Rodriguezmouth,97043,Danmark,DK,19761123-9216,+45,921.980.9536x59706,1976-11-23,True
Viktoria,Johansson,Trädgårdstorget 276,Varberg,77512,Sverige,SE,19420627-4854,+46,+46 (0)36 07 96 90,1942-06-27,True
Anthony,Griffin,Johnson Walks 9870,Tonymouth,77383,Danmark,DK,19510304-0819,+45,(317)457-6451x329,1951-03-04,True
Malin,Berge,Lundstranda 743,Marendal,1111,Norge,NO,19480427-5870,+47,+4716164603,1948-04-27,True
Marcus,Jacobsson,Ekvägen 3,Göteborg,26841,Sverige,SE,19820628-8528,+46,08-30 91 57,1982-06-28,True
Erin,Blair,Melanie Drive 147,East Caitlinland,97131,Danmark,DK,19790117-9995,+45,5143205436,1979-01-17,True
Olav,Jørgensen,Birkelandvika 62,Juliehelle,1443,Norge,NO,19750613-0989,+47,+47 76 88 37 17,1975-06-13,True
Knut,Lindgren,Trädgårdsvägen 02,Landskrona,68300,Sverige,SE,19790213-5070,+46,+46 (0)8 110 182 38,1979-02-13,True
Valentin,Vallin,Ekvägen 39,Skövde,16570,Sverige,SE,19491230-0789,+46,+46 (0)910 812 65,1949-12-30,True
Carl,Sjödin,Skogsstigen 05,Varberg,94452,Sverige,SE,19920310-0636,+46,+46 (0)8 264 762 91,1992-03-10,True
Mark,Walker,Jeffrey Way 66589,East Jamesbury,43462,Danmark,DK,19640924-8873,+45,7592955921,1964-09-24,True
Rachel,Chavez,Sullivan Drive 4972,Johnsborough,14219,Danmark,DK,19580205-7584,+45,(674)389-3195,1958-02-05,True
Emilie,Gulbrandsen,Ødegårdkollen 137,Tonesjøen,8968,Norge,NO,19731024-3365,+47,23 73 24 82,1973-10-24,True
Erica,Brännström,Parktorget 785,Mölndal,37450,Sverige,SE,19560521-5704,+46,08-08 02 05,1956-05-21,True
Jørgen,Moen,Strømstien 1,Gulbrandsen,4946,Norge,NO,19770719-9950,+47,39709526,1977-07-19,True
Ingrid,Nielsen,Aspvägen 621,Gävle,57274,Sverige,SE,19690705-3649,+46,+46 (0)33 71 90 07,1969-07-05,True
Mirjami,Seppälä,Ieskatu 84,Geta,87620,Finland,FI,19450507-713T,+358,+358 254606340,1945-05-07,True
Sofie,Andersson,Fabriksgränd 14,Mölndal,35942,Sverige,SE,19770319-1091,+46,+46 (0)04 50 91 87,1977-03-19,True
Kjell,Gustafsson,Bäckgatan 5,Skellefteå,92957,Sverige,SE,19961120-0492,+46,0887-738 40,1996-11-20,True
